Reporting period,Breakdown,ONS code,Level,Level description,Percentage,CI Lower,CI Upper,Denominator,Numerator,Data completeness banding
2014/15,National,E92000001,National,National,40.5,40.4,40.7,361242,146442,80-89%
2014/15,CCG,E38000042,00C,NHS Darlington CCG,44.3,41,47.6,847,375,90%+
2014/15,CCG,E38000047,00D,"NHS Durham Dales, Easington and Sedgefield CCG",42.8,40.6,45.1,1802,772,80-89%
2014/15,CCG,E38000116,00J,NHS North Durham CCG,38.7,36.3,41.1,1518,587,80-89%
2014/15,CCG,E38000075,00K,NHS Hartlepool and Stockton-on-Tees CCG,40,37.6,42.5,1511,605,70-79%
2014/15,CCG,E38000130,00L,NHS Northumberland CCG,37.1,35,39.2,2029,752,80-89%
2014/15,CCG,E38000162,00M,NHS South Tees CCG,42.3,40.1,44.5,1917,810,80-89%
2014/15,CCG,E38000163,00N,NHS South Tyneside CCG,45.6,42.8,48.5,1179,538,80-89%
2014/15,CCG,E38000176,00P,NHS Sunderland CCG,45.6,43.4,47.9,1918,875,80-89%
2014/15,CCG,E38000014,00Q,NHS Blackburn with Darwen CCG,46.1,43.9,48.4,1856,856,90%+
2014/15,CCG,E38000015,00R,NHS Blackpool CCG,50,47.9,52.1,2145,1072,90%+
2014/15,CCG,E38000016,00T,NHS Bolton CCG,44.8,42.7,47,2110,946,80-89%
2014/15,CCG,E38000024,00V,NHS Bury CCG,40.3,37.4,43.3,1057,426,50-59%
2014/15,CCG,E38000032,00W,NHS Central Manchester CCG,49.3,47.1,51.4,2030,1000,70-79%
2014/15,CCG,E38000034,00X,NHS Chorley and South Ribble CCG,42,39.3,44.7,1292,542,90%+
2014/15,CCG,E38000135,00Y,NHS Oldham CCG,45.5,43.1,47.9,1626,740,80-89%
2014/15,CCG,E38000050,01A,NHS East Lancashire CCG,46.2,44.4,47.9,3158,1458,80-89%
2014/15,CCG,E38000056,01C,NHS Eastern Cheshire CCG,35,32.5,37.5,1370,479,90%+
2014/15,CCG,E38000080,01D,"NHS Heywood, Middleton and Rochdale CCG",47.8,45.6,50,2001,956,90%+
2014/15,CCG,E38000065,01E,NHS Greater Preston CCG,43.5,41.1,46,1534,668,80-89%
2014/15,CCG,E38000068,01F,NHS Halton CCG,47.5,44.5,50.6,1010,480,90%+
2014/15,CCG,E38000143,01G,NHS Salford CCG,48.7,46.4,51.1,1670,814,70-79%
2014/15,CCG,E38000041,01H,NHS Cumbria CCG,40.2,38.6,41.7,3732,1499,80-89%
2014/15,CCG,E38000091,01J,NHS Knowsley CCG,50.6,47.9,53.2,1351,683,90%+
2014/15,CCG,E38000093,01K,NHS Lancashire North CCG,40.5,37.9,43.1,1370,555,90%+
2014/15,CCG,E38000123,01M,NHS North Manchester CCG,52.4,50.2,54.7,1889,990,80-89%
