Reporting period,Period of coverage,Breakdown,CCG Code,Level,Level description,Gender,Indicator value,CI lower,CI upper,Denominator,Numerator
2019,01/01/2019 to 31/12/2019,CCG,E38000004,07L,"NHS Barking and Dagenham CCG",Person,8.3,4.1,14.8,219504,12
2019,01/01/2019 to 31/12/2019,CCG,E38000006,02P,"NHS Barnsley CCG",Person,19,13.9,25.4,240912,46
2019,01/01/2019 to 31/12/2019,CCG,E38000007,99E,"NHS Basildon and Brentwood CCG",Person,15.1,10.6,20.9,258395,37
2019,01/01/2019 to 31/12/2019,CCG,E38000008,02Q,"NHS Bassetlaw CCG",Person,17.2,10.4,26.6,107201,20
2019,01/01/2019 to 31/12/2019,CCG,E38000231,92G,"NHS Bath and North East Somerset, Swindon and Wiltshire CCG",Person,14.2,11.8,16.9,862277,123
2019,01/01/2019 to 31/12/2019,CCG,E38000010,06F,"NHS Bedfordshire CCG",Person,15,11.5,19.1,449110,64
2019,01/01/2019 to 31/12/2019,CCG,E38000221,15A,"NHS Berkshire West CCG",Person,16,12.5,20.2,512680,72
2019,01/01/2019 to 31/12/2019,CCG,E38000220,15E,"NHS Birmingham and Solihull CCG",Person,17.2,14.7,20,1231452,171
2019,01/01/2019 to 31/12/2019,CCG,E38000014,00Q,"NHS Blackburn with Darwen CCG",Person,24.5,16.9,34.3,165843,34
2019,01/01/2019 to 31/12/2019,CCG,E38000015,00R,"NHS Blackpool CCG",Person,41.2,32,52.3,158000,69
2019,01/01/2019 to 31/12/2019,CCG,E38000016,00T,"NHS Bolton CCG",Person,25.3,19.6,32.2,290748,66
2019,01/01/2019 to 31/12/2019,CCG,E38000232,36J,"NHS Bradford District and Craven CCG",Person,20.1,16.3,24.4,595317,100
2019,01/01/2019 to 31/12/2019,CCG,E38000020,07P,"NHS Brent CCG",Person,12.4,8.4,17.6,373409,34
2019,01/01/2019 to 31/12/2019,CCG,E38000021,09D,"NHS Brighton and Hove CCG",Person,17.9,12.8,24.2,302811,43
2019,01/01/2019 to 31/12/2019,CCG,E38000222,15C,"NHS Bristol, North Somerset and South Gloucestershire CCG",Person,16.6,13.9,19.6,945754,134
2019,01/01/2019 to 31/12/2019,CCG,E38000223,14Y,"NHS Buckinghamshire CCG",Person,12.7,9.7,16.2,516504,64
2019,01/01/2019 to 31/12/2019,CCG,E38000024,00V,"NHS Bury CCG",Person,25.2,18.4,33.8,189873,45
2019,01/01/2019 to 31/12/2019,CCG,E38000025,02T,"NHS Calderdale CCG",Person,19.5,13.8,26.6,204797,39
2019,01/01/2019 to 31/12/2019,CCG,E38000026,06H,"NHS Cambridgeshire and Peterborough CCG",Person,13,10.6,15.7,911365,103
2019,01/01/2019 to 31/12/2019,CCG,E38000028,04Y,"NHS Cannock Chase CCG",Person,18,11.4,27,121955,23
2019,01/01/2019 to 31/12/2019,CCG,E38000030,99F,"NHS Castle Point and Rochford CCG",Person,7.3,3.9,12.6,165352,13
2019,01/01/2019 to 31/12/2019,CCG,E38000031,09A,"NHS Central London (Westminster) CCG",Person,17.3,10.9,25.9,228214,25
2019,01/01/2019 to 31/12/2019,CCG,E38000233,27D,"NHS Cheshire CCG",Person,21.2,18,24.8,698787,157
2019,01/01/2019 to 31/12/2019,CCG,E38000034,00X,"NHS Chorley and South Ribble CCG",Person,21.7,15.4,29.8,169135,38
2019,01/01/2019 to 31/12/2019,CCG,E38000035,07T,"NHS City and Hackney CCG",Person,12.6,7.5,19.4,314019,23
2019,01/01/2019 to 31/12/2019,CCG,E38000234,84H,"NHS County Durham CCG",Person,26.3,22,31.1,506241,137
2019,01/01/2019 to 31/12/2019,CCG,E38000038,05A,"NHS Coventry and Rugby CCG",Person,19.7,15.5,24.7,488570,76
2019,01/01/2019 to 31/12/2019,CCG,E38000229,15M,"NHS Derby and Derbyshire CCG",Person,18.5,15.9,21.4,961836,181
2019,01/01/2019 to 31/12/2019,CCG,E38000230,15N,"NHS Devon CCG",Person,16,13.8,18.5,1102469,192
2019,01/01/2019 to 31/12/2019,CCG,E38000044,02X,"NHS Doncaster CCG",Person,26.7,21.1,33.3,295935,78
2019,01/01/2019 to 31/12/2019,CCG,E38000045,11J,"NHS Dorset CCG",Person,16.4,13.6,19.5,710764,128
2019,01/01/2019 to 31/12/2019,CCG,E38000046,05C,"NHS Dudley CCG",Person,20.9,16,26.8,293990,61
2019,01/01/2019 to 31/12/2019,CCG,E38000048,07W,"NHS Ealing CCG",Person,14.3,10.1,19.6,423229,41
