participant_id,task_id,river_presence,node_movement_constraint,is_correct,time_taken
1,1,1,0,1,2982
1,3,1,0,1,16163
1,5,0,1,1,2570
1,7,0,1,0,8953
1,9,1,1,1,2050
1,10,1,1,0,16453
1,11,1,1,1,6684
1,12,1,1,0,7143
1,13,0,0,1,2420
1,14,0,0,0,16790
1,15,0,0,1,5102
1,16,0,0,1,23457
2,1,1,0,1,11531
2,2,1,0,0,4794
2,3,1,0,1,19025
2,5,0,1,1,6585
2,7,0,1,1,24420
2,8,0,1,0,12709
2,9,1,1,1,3442
2,10,1,1,1,9848
2,11,1,1,1,6924
2,12,1,1,0,10526
2,13,0,0,1,4481
2,14,0,0,0,15423
2,15,0,0,0,7511
3,1,1,0,1,23218
3,2,1,0,0,20125
3,3,1,0,1,14500
3,5,0,1,1,10840
3,6,0,1,1,19914
3,7,0,1,0,18496
3,9,1,1,1,10366
3,10,1,1,0,5031
3,11,1,1,0,11873
3,13,0,0,1,6098
3,14,0,0,0,11350
3,15,0,0,0,12613
4,1,1,0,1,4778
4,2,1,0,0,17290
4,5,0,1,1,8797
4,7,0,1,0,13705
4,8,0,1,1,17491
4,9,1,1,1,4567
4,10,1,1,1,4980
4,11,1,1,0,14257
4,12,1,1,0,8001
4,13,0,0,1,7898
4,14,0,0,0,12925
4,15,0,0,0,13756
4,16,0,0,0,17836
5,1,1,0,1,7435
5,2,1,0,0,15521
5,3,1,0,0,20056
5,4,1,0,0,11977
5,5,0,1,1,3134
5,6,0,1,0,10231
5,7,0,1,0,12146
5,8,0,1,0,12120
5,9,1,1,1,2539
5,10,1,1,1,9539
5,11,1,1,1,7712
5,12,1,1,0,12435
5,13,0,0,1,2244
5,14,0,0,1,13417
5,15,0,0,0,9549
5,16,0,0,0,11272
6,1,1,0,1,2215
6,2,1,0,0,8670
6,3,1,0,1,14951
6,6,0,1,1,20882
6,9,1,1,1,9751
6,10,1,1,1,7564
6,12,1,1,0,17816
7,1,1,0,1,6093
7,2,1,0,0,12374
7,3,1,0,0,12237
7,5,0,1,1,7542
7,6,0,1,1,16230
7,7,0,1,0,8920
7,8,0,1,0,19324
7,9,1,1,1,7471
7,10,1,1,1,9958
7,11,1,1,0,7281
7,12,1,1,0,11019
7,13,0,0,1,4460
7,14,0,0,1,15098
7,15,0,0,0,10811
7,16,0,0,0,11802
8,1,1,0,1,4382
8,2,1,0,0,4407
8,3,1,0,0,17328
8,4,1,0,0,5750
8,5,0,1,1,4929
8,6,0,1,1,5490
8,7,0,1,0,6773
8,9,1,1,1,3064
8,10,1,1,0,5407
8,11,1,1,0,7327
8,12,1,1,1,15278
8,13,0,0,1,3246
8,14,0,0,0,9788
8,15,0,0,0,16148
8,16,0,0,1,12706
9,1,1,0,1,2056
9,2,1,0,0,6621
9,3,1,0,0,4428
9,4,1,0,0,10982
9,5,0,1,1,3310
9,6,0,1,0,5685
9,7,0,1,0,6926
9,8,0,1,0,4680
9,9,1,1,1,2081
9,10,1,1,0,5713
9,11,1,1,1,3025
9,12,1,1,0,10555
9,13,0,0,1,2160
9,14,0,0,0,2896
9,15,0,0,0,5085
9,16,0,0,0,4356
10,1,1,0,1,4462
10,2,1,0,0,10082
10,3,1,0,1,4465
10,4,1,0,1,6587
10,5,0,1,1,8200
10,6,0,1,1,3733
10,7,0,1,0,5400
10,8,0,1,0,6467
10,9,1,1,1,2391
10,10,1,1,1,2389
10,11,1,1,1,4836
10,12,1,1,0,6327
10,13,0,0,1,7428
10,14,0,0,0,6690
10,15,0,0,0,7343
10,16,0,0,0,9324
11,1,1,0,1,7957
11,2,1,0,0,4430
11,3,1,0,1,2722
11,4,1,0,1,3498
11,5,0,1,1,3809
11,6,0,1,1,3740
11,7,0,1,0,9840
11,8,0,1,0,4394
11,9,1,1,1,1975
11,10,1,1,1,7831
11,11,1,1,1,3797
11,12,1,1,0,5541
11,13,0,0,1,3149
11,14,0,0,0,4800
11,15,0,0,0,4009
11,16,0,0,0,4327
12,1,1,0,1,7931
12,2,1,0,0,7381
12,3,1,0,1,5741
12,4,1,0,1,7428
12,5,0,1,1,2809
12,6,0,1,1,4492
12,7,0,1,0,7744
12,8,0,1,0,6487
12,9,1,1,1,4921
12,10,1,1,1,8345
12,11,1,1,1,5632
12,12,1,1,0,10198
12,13,0,0,1,4356
12,14,0,0,0,6847
12,15,0,0,0,6237
12,16,0,0,0,8300
13,1,1,0,1,2957
13,2,1,0,1,3740
13,3,1,0,1,3168
13,4,1,0,1,3498
13,5,0,1,1,2957
13,6,0,1,0,3110
13,7,0,1,1,3974
13,8,0,1,0,4303
13,9,1,1,1,2975
13,10,1,1,1,3258
13,11,1,1,1,3654
13,12,1,1,0,4561
13,13,0,0,1,1975
13,14,0,0,0,4414
13,15,0,0,0,3816
13,16,0,0,0,3402
14,1,1,0,1,5782
14,2,1,0,0,8872
14,3,1,0,1,9950
14,4,1,0,1,9374
14,5,0,1,1,6253
14,6,0,1,0,11665
14,7,0,1,0,1783
14,8,0,1,0,15432
14,9,1,1,1,7761
14,10,1,1,1,9531
14,11,1,1,1,8714
14,12,1,1,1,9478
14,13,0,0,1,4426
14,14,0,0,0,11551
14,15,0,0,0,12796
14,16,0,0,0,13872
15,1,1,0,1,9347
15,4,1,0,1,22060
15,5,0,1,1,6169
15,6,0,1,1,6451
15,7,0,1,0,15612
15,9,1,1,1,5176
15,10,1,1,1,15073
15,11,1,1,1,16332
15,13,0,0,1,11154
15,14,0,0,1,7879
15,16,0,0,1,16709
16,1,1,0,1,8547
16,2,1,0,0,5131
16,3,1,0,0,4775
16,4,1,0,1,9931
16,5,0,1,1,7631
16,6,0,1,1,7163
16,7,0,1,0,11941
16,8,0,1,0,8301
16,9,1,1,1,4787
16,10,1,1,0,9651
16,11,1,1,0,7957
16,12,1,1,0,11073
16,13,0,0,1,7716
16,14,0,0,1,8347
16,15,0,0,0,11784
16,16,0,0,1,10854
17,1,1,0,1,7483
17,2,1,0,0,4581
17,3,1,0,0,9741
17,4,1,0,1,11082
17,5,0,1,1,7892
17,6,0,1,0,18723
17,7,0,1,0,5431
17,8,0,1,0,9812
17,9,1,1,1,6781
17,10,1,1,1,5736
17,11,1,1,1,8347
17,12,1,1,0,9163
17,13,0,0,1,7361
17,14,0,0,1,16372
17,15,0,0,0,7451
17,16,0,0,1,9546
18,1,1,0,1,8239
18,2,1,0,0,6323
18,3,1,0,0,11023
18,4,1,0,1,8645
18,5,0,1,1,4783
18,6,0,1,0,14971
18,8,0,1,0,6362
18,9,1,1,1,4643
18,10,1,1,1,8537
18,11,1,1,1,18752
