withRiver,allowCrossing,correct,rt
1,0,1,2.982
1,0,1,16.163
0,1,1,2.57
0,1,0,18.953
1,1,1,2.05
1,1,0,16.453
1,1,1,6.684
1,1,0,7.143
0,0,1,2.42
0,0,0,16.79
0,0,1,5.102
1,0,1,11.531
1,0,0,4.794
1,0,1,19.025
0,1,1,6.585
1,1,1,3.442
1,1,1,6.924
0,0,1,4.481
0,1,1,10.84
0,1,1,19.914
0,1,0,18.496
1,1,1,10.366
1,1,0,5.031
1,1,0,11.873
0,0,1,13.098
0,0,0,18.35
1,0,1,4.778
1,0,0,17.29
0,1,1,8.797
0,1,1,17.491
1,1,1,4.567
1,1,1,4.98
1,1,0,14.257
0,0,1,7.898
0,0,0,13.756
0,0,0,17.836
1,0,1,7.435
1,0,0,11.977
0,1,1,3.134
0,1,0,10.231
0,1,0,12.146
0,1,0,12.12
1,1,1,2.539
1,1,1,12.539
1,1,1,7.712
1,1,0,16.435
0,0,1,2.244
0,0,1,13.417
0,0,0,19.549
0,0,0,11.272
1,0,1,2.215
1,0,0,8.67
1,0,1,14.951
1,1,1,9.751
1,1,1,13.564
1,0,1,6.093
1,0,0,12.374
1,0,0,12.237
0,1,1,7.542
0,1,1,16.23
0,1,0,18.92
1,1,1,7.471
1,1,1,9.958
0,0,1,4.46
0,0,1,15.098
0,0,0,11.802
1,0,1,4.382
1,0,0,4.407
1,0,0,17.328
1,0,0,5.75
0,1,1,4.929
0,1,1,5.49
0,1,0,9.773
1,1,1,3.064
1,1,0,11.407
1,1,0,7.327
1,1,1,15.278
0,0,1,3.246
0,0,0,9.788
0,0,1,12.706
1,0,1,2.056
1,0,0,6.621
1,0,0,4.428
1,0,0,10.982
0,1,1,3.31
0,1,0,5.685
0,1,0,9.926
0,1,0,4.68
1,1,1,2.081
1,1,0,5.713
1,1,1,3.025
1,1,0,10.555
0,0,1,2.16
0,0,0,2.896
0,0,0,5.085
0,0,0,4.356
1,0,1,4.462
1,0,0,10.082
1,0,1,4.465
1,0,1,6.587
0,1,1,8.2
0,1,1,3.733
0,1,0,5.4
0,1,0,6.467
1,1,1,2.391
1,1,1,2.389
1,1,1,4.836
1,1,0,6.327
0,0,1,7.428
0,0,0,6.69
0,0,0,7.343
0,0,0,9.324
1,0,1,7.957
1,0,0,4.43
1,0,1,2.722
1,0,1,3.498
0,1,1,3.809
0,1,1,3.74
0,1,0,9.84
0,1,0,4.394
1,1,1,1.975
1,1,1,7.831
1,1,1,3.797
1,1,0,5.541
0,0,1,3.149
0,0,0,4.8
0,0,0,4.009
0,0,0,4.327
1,0,1,7.931
1,0,0,7.381
1,0,1,5.741
1,0,1,7.428
0,1,1,2.809
0,1,1,4.492
0,1,0,7.744
0,1,0,6.487
1,1,1,4.921
1,1,1,8.345
1,1,1,5.632
1,1,0,10.198
0,0,1,4.356
0,0,0,6.847
0,0,0,6.237
0,0,0,8.3
1,0,1,2.957
1,0,1,3.74
1,0,1,3.168
1,0,1,3.498
0,1,1,2.957
0,1,0,3.11
0,1,1,3.974
0,1,0,4.303
1,1,1,2.975
1,1,1,3.258
1,1,1,3.654
1,1,0,4.561
0,0,1,1.975
0,0,0,4.414
0,0,0,3.816
0,0,0,3.402
1,0,1,5.782
1,0,0,8.872
1,0,1,9.95
1,0,1,9.374
0,1,1,6.253
0,1,0,11.665
0,1,0,1.783
0,1,0,15.432
1,1,1,7.761
1,1,1,9.531
1,1,1,8.714
1,1,1,9.478
0,0,1,4.426
0,0,0,11.551
0,0,0,12.796
0,0,0,13.872
